class,Sepal_Length,Sepal_Width,Petal_Length,Petal_Width
setosa,0.778,0.375,0.932,0.9585
setosa,0.8335,0.5835,0.932,0.9585
setosa,0.889,0.5,0.949,0.9585
setosa,0.9165,0.5415,0.9155,0.9585
setosa,0.8055,0.3335,0.932,0.9585
setosa,0.6945,0.2085,0.8815,0.875
setosa,0.9165,0.4165,0.932,0.9165
setosa,0.8055,0.4165,0.9155,0.9585
setosa,0.972,0.625,0.932,0.9585
setosa,0.8335,0.5415,0.9155,1.0
setosa,0.6945,0.2915,0.9155,0.9585
setosa,0.861,0.4165,0.8985,0.9585
setosa,0.861,0.5835,0.932,1.0
setosa,1.0,0.5835,0.983,1.0
setosa,0.5835,0.1665,0.966,0.9585
setosa,0.611,0.0,0.9155,0.875
setosa,0.6945,0.2085,0.949,0.875
setosa,0.778,0.375,0.932,0.9165
setosa,0.611,0.25,0.8815,0.9165
setosa,0.778,0.25,0.9155,0.9165
setosa,0.6945,0.4165,0.8815,0.9585
setosa,0.778,0.2915,0.9155,0.875
setosa,0.9165,0.3335,1.0,0.9585
setosa,0.778,0.4585,0.8815,0.8335
setosa,0.861,0.4165,0.8475,0.9585
setosa,0.8055,0.5835,0.8985,0.9585
setosa,0.8055,0.4165,0.8985,0.875
setosa,0.75,0.375,0.9155,0.9585
setosa,0.75,0.4165,0.932,0.9585
setosa,0.889,0.5,0.8985,0.9585
setosa,0.861,0.5415,0.8985,0.9585
setosa,0.6945,0.4165,0.9155,0.875
setosa,0.75,0.125,0.9155,1.0
setosa,0.6665,0.0835,0.932,0.9585
setosa,0.8335,0.5415,0.9155,1.0
setosa,0.8055,0.5,0.966,0.9585
setosa,0.6665,0.375,0.949,0.9585
setosa,0.8335,0.5415,0.9155,1.0
setosa,0.972,0.5835,0.949,0.9585
setosa,0.778,0.4165,0.9155,0.9585
setosa,0.8055,0.375,0.949,0.9165
setosa,0.9445,0.875,0.949,0.9165
setosa,0.972,0.5,0.949,0.9585
setosa,0.8055,0.375,0.8985,0.7915
setosa,0.778,0.25,0.8475,0.875
setosa,0.861,0.5835,0.932,0.9165
setosa,0.778,0.25,0.8985,0.9585
setosa,0.9165,0.5,0.932,0.9585
setosa,0.722,0.2915,0.9155,0.9585
setosa,0.8055,0.4585,0.932,0.9585
versicolor,0.25,0.5,0.373,0.4585
versicolor,0.4165,0.5,0.407,0.4165
versicolor,0.278,0.5415,0.339,0.4165
versicolor,0.6665,0.875,0.4915,0.5
versicolor,0.389,0.6665,0.39,0.4165
versicolor,0.611,0.6665,0.407,0.5
versicolor,0.4445,0.4585,0.373,0.375
versicolor,0.8335,0.8335,0.61,0.625
versicolor,0.361,0.625,0.39,0.5
versicolor,0.75,0.7085,0.5085,0.4585
versicolor,0.8055,1.0,0.5765,0.625
versicolor,0.5555,0.5835,0.4575,0.4165
versicolor,0.528,0.9165,0.4915,0.625
versicolor,0.5,0.625,0.373,0.4585
versicolor,0.639,0.625,0.5595,0.5
versicolor,0.3335,0.5415,0.4235,0.4585
versicolor,0.639,0.5835,0.407,0.4165
versicolor,0.5835,0.7085,0.4745,0.625
versicolor,0.472,0.9165,0.407,0.4165
versicolor,0.639,0.7915,0.5085,0.5835
versicolor,0.5555,0.5,0.356,0.2915
versicolor,0.5,0.6665,0.4915,0.5
versicolor,0.4445,0.7915,0.339,0.4165
versicolor,0.5,0.6665,0.373,0.5415
versicolor,0.4165,0.625,0.4405,0.5
versicolor,0.361,0.5835,0.4235,0.4585
versicolor,0.3055,0.6665,0.356,0.4585
versicolor,0.3335,0.5835,0.322,0.3335
versicolor,0.528,0.625,0.407,0.4165
versicolor,0.611,0.75,0.5765,0.625
versicolor,0.6665,0.8335,0.5255,0.5835
versicolor,0.6665,0.8335,0.5425,0.625
versicolor,0.5835,0.7085,0.5085,0.5415
versicolor,0.528,0.7085,0.305,0.375
versicolor,0.6945,0.5835,0.407,0.4165
versicolor,0.528,0.4165,0.407,0.375
versicolor,0.3335,0.5415,0.373,0.4165
versicolor,0.4445,0.875,0.4235,0.5
versicolor,0.639,0.5835,0.4745,0.5
versicolor,0.6665,0.7915,0.4915,0.5
versicolor,0.6665,0.75,0.4235,0.5415
versicolor,0.5,0.5835,0.39,0.4585
versicolor,0.5835,0.75,0.4915,0.5415
versicolor,0.8055,0.875,0.61,0.625
versicolor,0.639,0.7085,0.4575,0.5
versicolor,0.611,0.5835,0.4575,0.5415
versicolor,0.611,0.625,0.4575,0.5
versicolor,0.472,0.625,0.4405,0.5
versicolor,0.778,0.7915,0.661,0.5835
versicolor,0.611,0.6665,0.4745,0.5
virginica,0.4445,0.4585,0.1525,0.0
virginica,0.5835,0.7085,0.305,0.25
virginica,0.222,0.5835,0.1695,0.1665
virginica,0.4445,0.625,0.2205,0.2915
virginica,0.389,0.5835,0.1865,0.125
virginica,0.0835,0.5835,0.051,0.1665
virginica,0.8335,0.7915,0.407,0.3335
virginica,0.1665,0.625,0.1015,0.2915
virginica,0.3335,0.7915,0.1865,0.2915
virginica,0.1945,0.3335,0.1355,0.0
virginica,0.389,0.5,0.305,0.2085
virginica,0.4165,0.7085,0.271,0.25
virginica,0.3055,0.5835,0.2375,0.1665
virginica,0.611,0.7915,0.322,0.2085
virginica,0.5835,0.6665,0.305,0.0415
virginica,0.4165,0.5,0.271,0.0835
virginica,0.389,0.5835,0.2375,0.2915
virginica,0.0555,0.25,0.034,0.125
virginica,0.0555,0.75,0.0,0.0835
virginica,0.528,0.9165,0.322,0.4165
virginica,0.278,0.5,0.2035,0.0835
virginica,0.639,0.6665,0.339,0.2085
virginica,0.0555,0.6665,0.034,0.2085
virginica,0.4445,0.7085,0.339,0.2915
virginica,0.3335,0.4585,0.2035,0.1665
virginica,0.1945,0.5,0.1525,0.2915
virginica,0.472,0.6665,0.356,0.2915
virginica,0.5,0.5835,0.339,0.2915
virginica,0.4165,0.6665,0.2205,0.1665
virginica,0.1945,0.5835,0.1865,0.375
virginica,0.139,0.6665,0.1355,0.25
virginica,0.0,0.25,0.0845,0.2085
virginica,0.4165,0.6665,0.2205,0.125
virginica,0.4445,0.6665,0.305,0.4165
virginica,0.5,0.75,0.2205,0.4585
virginica,0.0555,0.5835,0.1355,0.0835
virginica,0.4445,0.4165,0.2205,0.0415
virginica,0.4165,0.5415,0.2375,0.2915
virginica,0.528,0.5835,0.356,0.2915
virginica,0.278,0.5415,0.254,0.1665
virginica,0.3335,0.5415,0.2205,0.0415
virginica,0.278,0.5415,0.305,0.0835
virginica,0.5835,0.7085,0.305,0.25
virginica,0.3055,0.5,0.1695,0.0835
virginica,0.3335,0.4585,0.2035,0.0
virginica,0.3335,0.5835,0.288,0.0835
virginica,0.4445,0.7915,0.322,0.25
virginica,0.389,0.5835,0.288,0.2085
virginica,0.472,0.4165,0.254,0.0835
virginica,0.5555,0.5835,0.305,0.2915
